"state","county","clinton_pctvotes","trump_pctvotes","obama_pctvotes","pct_pop65","pct_black","pct_white","pct_hispanic","pct_asian","highschool","bachelors","income","trump_win"
"KS","Miami County",26.84,66.88,31.66,15.2,1.3,95.7,3.1,0.4,93.5,23.9,58.936,1
"KS","Mitchell County",16.61,78.47,19.71,22.5,0.3,97.8,2,0.3,93.4,23.8,46.667,1
"KS","Montgomery County",22,72.84,28.17,18.1,5.8,85.2,6.3,0.6,88.2,17.9,39.669,1
"KS","Morris County",22.82,69.7,27.91,23.6,0.6,96.5,4.4,0.3,89.3,17.4,47.445,1
"KS","Morton County",12.5,83.62,14.43,18.2,0.9,92.9,21.1,2.4,85,17.5,46.607,1
"KS","Nemaha County",14.21,80.92,19.92,20.1,0.7,96.9,1.7,0.2,90,19.5,47.122,1
"KS","Neosho County",23.8,70.56,31.64,18.4,1.3,94.5,5.2,0.8,89.8,16.2,42.071,1
"KS","Ness County",11.15,84.74,14.89,23.8,0.7,96.6,9.8,0.3,91,19,48.8,1
"KS","Norton County",12.65,82.56,17.12,19.4,3.1,94.1,5.3,0.8,87.7,15.4,46.029,1
"KS","Osage County",25.09,68.36,32.91,18.5,0.5,96.4,2.7,0.3,90.6,20.6,50.205,1
"KS","Osborne County",13.18,81.97,17.76,24.8,0.3,97.3,1.8,0.5,88.5,18,37.925,1
"KS","Ottawa County",14.79,78.89,18.98,18,0.9,96.8,3.1,0.2,92.3,21,58.396,1
"KS","Pawnee County",21.79,71.94,27.45,19,5.1,91.5,7.8,0.4,90,22.9,44.078,1
"KS","Phillips County",11.34,84.26,14.82,21.4,0.5,97,3,0.8,91.8,18.3,43.059,1
"KS","Pottawatomie County",21.15,71.93,24.63,13.2,1.4,94,5.2,1,94.6,29.3,56.854,1
"KS","Pratt County",20.2,74.2,25.96,17.9,1.4,94.8,6.8,0.8,88.6,23.4,46.035,1
"KS","Rawlins County",11.05,83.49,12.96,26.6,0.5,97.8,4.8,0.4,91.4,23.3,43.482,1
"KS","Reno County",28.45,64.4,33.05,18,3.4,92.9,9,0.6,88.7,19.8,43.798,1
"KS","Republic County",14.9,80.23,17.8,27.4,0.7,97.5,1.5,0.6,94.4,19.8,39.572,1
"KS","Rice County",18.73,74.35,24.82,17.5,1.8,94.1,11.1,0.5,89.9,20.9,45.336,1
"KS","Riley County",43.43,47.95,42.37,7.9,6.9,84,8.1,4.8,95.4,45,43.962,1
"KS","Rooks County",11.48,84.06,15.16,20.6,0.6,97.3,2.5,0.4,91.5,20.9,42.449,1
"KS","Rush County",15.4,79.85,23.31,24.2,0.4,97.1,3.3,0.2,90.7,19.4,42.61,1
"KS","Russell County",14.42,80.81,18.6,22.4,1.1,95.4,2.5,0.9,90.6,21.8,37.111,1
"KS","Saline County",28.69,63.03,32.75,15.7,3.6,90,10.9,2.5,89,23.9,47.215,1
"KS","Scott County",10.75,84.85,13.42,17.8,0.6,96.9,17.5,0.6,86.4,23.4,50.605,1
"KS","Sedgwick County",36.91,56.05,39.01,12.8,9.5,81,13.9,4.4,88.6,28.7,49.865,1
"KS","Seward County",31.44,63.78,28.11,8.8,4.2,89.1,59.1,3,63.3,12.6,50.185,1
"KS","Shawnee County",45.17,48,48.05,16.1,8.8,84.4,11.6,1.4,90.3,28.6,48.451,1
