"state","county","clinton_pctvotes","trump_pctvotes","obama_pctvotes","pct_pop65","pct_black","pct_white","pct_hispanic","pct_asian","highschool","bachelors","income","trump_win"
"AL","Autauga County",23.96,73.44,26.58,13.8,18.7,77.9,2.7,1.1,85.6,20.9,53.682,1
"AL","Baldwin County",19.57,77.35,21.57,18.7,9.6,87.1,4.6,0.9,89.1,27.7,50.221,1
"AL","Barbour County",46.66,52.27,51.25,16.5,47.6,50.2,4.5,0.5,73.7,13.4,32.911,1
"AL","Bibb County",21.42,76.97,26.22,14.8,22.1,76.3,2.1,0.2,77.5,12.1,36.447,1
"AL","Blount County",8.47,89.85,12.35,17,1.8,96,8.7,0.3,77,12.1,44.145,1
"AL","Bullock County",75.09,24.23,76.31,14.9,70.1,26.9,7.5,0.3,67.8,12.5,32.033,0
"AL","Butler County",42.79,56.32,46.05,18,44,53.9,1.2,0.9,76.3,14,29.918,1
"AL","Calhoun County",27.86,69.24,33.52,16,21.1,75.8,3.5,0.9,78.6,16.1,39.962,1
"AL","Chambers County",41.83,56.63,47.06,18.3,39.5,58.3,2,0.8,75.1,11.8,32.402,1
"AL","Cherokee County",14.51,83.87,21.78,20.9,4.6,93,1.5,0.3,78.3,12.8,34.907,1
"AL","Chilton County",15.94,82.54,19.45,15.2,10.6,87.1,7.7,0.4,76,12.9,41.25,1
"AL","Choctaw County",42.78,56.44,47.52,20.8,42.4,56.6,0.8,0.3,75.2,11.8,33.941,1
"AL","Clarke County",44.16,54.96,45.69,18,44.2,54,1.3,0.5,78.3,11.2,29.357,1
"AL","Clay County",18.78,79.58,26.66,19.4,14.5,82.8,3.4,0.3,76.5,9.2,34.002,1
"AL","Cleburne County",10.47,87.84,15.41,18.4,3.6,94.5,2.5,0.2,76,9,38.019,1
"AL","Coffee County",20.45,77.15,24.85,15.9,17.7,76.4,6.4,1.6,82.4,22.5,43.768,1
"AL","Colbert County",29.63,67.89,39.19,18.5,16.3,80.8,2.6,0.5,83.5,17.7,39.077,1
"AL","Conecuh County",46.91,52.16,50.63,20.4,46.2,52.1,1.8,0.1,77.3,8.8,24.658,1
"AL","Coosa County",34.08,64.64,41.73,18.5,31.8,66.1,2.3,0.2,75,9.8,37.277,1
"AL","Covington County",15.04,83.59,20.47,19.8,13,84.3,1.6,0.5,78.4,14.2,35.869,1
"AL","Crenshaw County",26.6,72.15,31.95,18,24,72,1.7,1.8,76.7,12.7,36.275,1
"AL","Cullman County",10.01,87.81,14.63,17.6,1.4,96.2,4.4,0.5,79.8,14.8,38.847,1
"AL","Dale County",23.68,74.12,28.48,15.4,19.7,75.2,6.1,1.3,84.1,17,44.889,1
"AL","Dallas County",68.48,30.88,69.73,15.6,69.5,29,1,0.5,77.5,14.2,26.519,0
"AL","DeKalb County",14.11,83.49,21.96,15.7,2.1,92.4,14.2,0.4,70.6,10.7,37.851,1
"AL","Elmore County",22.86,74.84,25.23,14,21.2,76,2.7,0.7,86.6,21,54.766,1
"AL","Escambia County",30.88,67.59,36.92,16.7,32.4,62.2,2.1,0.3,76.2,11.7,30.687,1
"AL","Etowah County",23.81,73.91,30.11,17.3,15.5,81.2,3.7,0.8,81.8,14.8,38.013,1
"AL","Fayette County",16.57,81.81,22.79,19.6,11.9,86.2,1.4,0.3,74.9,13.2,33.838,1
"AL","Franklin County",18.38,79.18,29.2,15.9,4.6,91.9,16.1,0.4,72.5,11,36.415,1
"AL","Geneva County",13.05,85.49,18.02,19.2,9.7,87.1,3.6,0.4,77.2,10.4,35.625,1
"AL","Greene County",82.39,17.24,84.72,17.9,80.5,18.5,1,0.2,76.2,12.8,24.226,0
"AL","Hale County",59.58,39.6,62.6,17.3,58.1,40.8,1.3,0.3,77.4,12.8,30.051,0
"AL","Henry County",28.51,70.14,35.01,20.8,27.3,70.4,2.6,0.7,80.1,16.6,41.65,1
"AL","Houston County",25.09,72.73,29.51,16.1,26.7,70,3.3,0.9,83.9,19.7,40.948,1
"AL","Jackson County",17.62,80.07,28.3,18.6,3.6,91.5,2.9,0.5,74.6,13,37.634,1
"AL","Jefferson County",52.25,45.02,52.62,14.3,42.9,54,3.8,1.6,87.4,30,45.429,0
"AL","Lamar County",14.93,83.96,22.95,20.5,11.3,87.1,1.4,0.1,76.1,9.5,36.028,1
"AL","Lauderdale County",25.45,71.46,33.88,18.2,10.4,86.7,2.4,0.9,83.8,21.1,42.844,1
"AL","Lawrence County",24.69,73.39,35.9,16.8,11.4,78.1,2.2,0.2,77.1,11.9,38.551,1
"AL","Lee County",36.39,59.51,39.31,10.3,23.7,70.9,3.9,3.3,86.7,32.5,43.542,1
"AL","Limestone County",23.71,73.16,27.7,13.8,13.5,82,5.8,1.4,81.5,22.7,48.619,1
"AL","Lowndes County",73.13,26.23,76.43,17.4,72.9,25.8,1.2,0.2,73.9,14.4,26.23,0
"AL","Macon County",82.73,15.94,87.1,16.8,81.5,16.7,1.5,0.3,80,19.6,30.724,0
"AL","Madison County",39.15,55.93,39.97,13.7,24.6,69.4,4.7,2.6,90,38.5,58.434,1
"AL","Marengo County",51.21,47.72,53.47,18.6,51,47.4,2.4,0.3,83.7,17.4,35.079,0
"AL","Marion County",11.09,87.31,18.58,20.1,4.2,93.9,2.5,0.3,74.6,9.5,32.888,1
"AL","Marshall County",14.05,83.56,19.32,16.3,2.7,93.7,12.9,0.7,76.2,15.2,39.526,1
"AL","Mobile County",41.88,55.75,45.02,14.5,35.3,60.1,2.8,2,83.9,20.7,43.028,1
"AL","Monroe County",42.32,56.66,45.85,17.9,41.1,55.5,1.2,0.4,76.1,10.6,29.203,1
"AL","Montgomery County",62.04,35.88,61.89,13.3,56.7,38.9,3.4,2.6,85.6,31.5,44.79,0
"AL","Morgan County",22.44,74.8,27.24,15.9,12.5,83.5,7.9,0.7,81.4,19.9,44.8,1
"AL","Perry County",72.75,26.7,74.79,17.9,67.5,31.1,1.3,0.4,70.2,10.4,28.209,0
"AL","Pickens County",41.84,57.45,46.34,17.8,40.2,58.1,4.1,0.3,79.7,11,28.741,1
"AL","Pike County",38.69,58.97,42.75,14.1,36.9,58.5,2.2,2.2,81,23,33.09,1
"AL","Randolph County",22.61,75.98,29.6,19.6,20.2,77.6,2.9,0.3,72.6,11.1,35.213,1
"AL","Russell County",50.05,48.13,55.61,12.5,42.9,53.1,5,0.8,80.4,16,36.143,0
"AL","Shelby County",23.11,73.43,21.63,13,12.1,84,6,2.2,91.2,40.3,68.77,1
"AL","St. Clair County",14.63,83.24,16.49,15.3,9.5,87.9,2.3,0.8,82,15.5,50.786,1
"AL","Sumter County",74.15,24.74,77.15,16.3,73.5,25.5,1.1,0.4,75.5,14.9,22.186,0
"AL","Talladega County",36.45,62,41.65,16.1,32.5,65.2,2.3,0.4,78.9,13,35.439,1
"AL","Tallapoosa County",28.49,70.08,33.49,19.6,27.3,70.6,2.3,0.5,79.2,16.3,39.13,1
"AL","Tuscaloosa County",38.85,58.38,40.77,11.7,31,66,3.3,1.5,86.6,27,45.408,1
"AL","Walker County",15.34,82.78,22.99,18.2,6.4,91.3,2.3,0.4,76.4,10.5,37.566,1
"AL","Washington County",27.86,71.02,33.91,17,24.6,66,1.4,0.1,80.5,9.5,42.156,1
"AL","Wilcox County",71.03,28.5,74.34,17.7,71,28.1,1,0.1,76.1,11.1,23.642,0
"AL","Winston County",8.49,89.96,13.24,20,1,96.3,2.9,0.3,72.7,10.4,32.9,1
"AR","Arkansas County",31.44,62.02,37.82,17.5,24.5,72.6,3,1,84.1,12.4,39.633,1
"AR","Ashley County",30,66.5,36.07,18.4,25.6,71.9,5.2,0.3,84.2,12.2,35.683,1
"AR","Baxter County",21.27,74.88,26.74,30,0.4,96.8,2,0.6,87.6,16.5,35.343,1
"AR","Benton County",29.59,64.45,28.56,13,1.9,90,16.2,3.4,85.8,28.7,54.515,1
"AR","Boone County",18.38,76.83,24.49,19.8,0.4,96.3,2.3,0.6,85.4,15.4,38.506,1
"AR","Bradley County",36.41,59.8,39.82,18.3,27.6,68.3,14.3,0.5,76,10.8,30.409,1
"AR","Calhoun County",28.27,69.07,30.36,19.8,22,75.7,3.9,0.2,80.5,7.4,30.98,1
"AR","Carroll County",31.29,63.56,36.29,21.1,0.8,94.5,14.6,0.9,84.6,17.3,36.584,1
"AR","Chicot County",56.64,41.36,60.74,19.2,54.6,43.5,5.6,0.5,74.2,12.6,26.201,0
"AR","Clark County",43.11,52.58,45.3,16.1,24,73.4,4.4,0.7,86.2,21.4,32.721,1
"AR","Clay County",33.44,63.22,34.01,21.4,0.6,97.4,1.8,0.2,76.1,9.5,31.502,1
"AR","Cleburne County",17.56,78.99,22.49,25.4,0.5,97,2.6,0.3,84.5,16.8,40.246,1
"AR","Cleveland County",21.92,74.57,25.87,19.1,11.4,86.6,2.2,0.1,84.8,13.8,39.42,1
"AR","Columbia County",35.53,61.74,37.62,16.6,36.2,61.1,2.7,0.9,85.4,20.3,35.128,1
"AR","Conway County",33.88,61.81,38.88,18.3,11.4,85,4,0.6,84.5,14.7,35.225,1
"AR","Craighead County",29.95,65.2,33.17,13,14.5,82.2,4.7,1.1,84.9,24.4,41.393,1
"AR","Crawford County",20.2,75.17,23.69,15.3,1.6,91.5,6.7,1.6,82.2,14.3,39.479,1
"AR","Crittenden County",52.97,44.01,58.61,12.1,51.8,45.9,2.3,0.7,79.1,13.9,37.751,0
"AR","Cross County",29.21,67,34.12,17.6,22.9,74.9,1.9,0.5,79,11.4,38.085,1
"AR","Dallas County",42.5,54.98,43.37,20.5,41.3,56.4,2.7,0.2,82.1,10.2,28.931,1
"AR","Desha County",52.7,45.31,55.5,17.1,47.9,50.1,4.8,0.4,76.9,12.7,28.68,0
"AR","Drew County",36.08,60.55,39.65,16.1,28,69.6,2.9,0.9,81.3,19.1,31.171,1
"AR","Faulkner County",31.33,62.92,32.81,11.2,11.3,84.6,4.1,1.2,89.4,27.2,50.314,1
"AR","Franklin County",20.54,75.16,26.38,18,0.9,95.2,3,0.9,82.1,12.4,36.766,1
"AR","Fulton County",22.49,73.15,32.11,25.4,0.6,96.8,1.2,0.3,83.7,10,35.522,1
"AR","Garland County",30.45,64.59,33.94,21.7,8.5,87.7,5.3,0.8,86.8,20.9,39.162,1
"AR","Grant County",20.53,75.27,22.65,16.1,2.8,94.8,2.6,0.4,84.9,17.6,49.004,1
"AR","Greene County",21.19,74.18,29.07,15,0.9,96.9,2.7,0.3,82.8,14.7,38.413,1
"AR","Hempstead County",33.95,62.87,35.64,16.3,29.9,66.8,12.6,0.5,81.7,14.1,32.056,1
"AR","Hot Spring County",26.55,69.01,34.02,17.2,11.6,85.6,3.3,0.4,83.4,12.3,41.193,1
"AR","Howard County",29.13,68.08,33.04,16.9,20.9,75.8,11,0.7,76,12,35.879,1
"AR","Independence County",21.41,73.83,26.46,17,2.3,94.5,5.9,0.8,82.5,14.4,35.026,1
"AR","Izard County",20.59,74.91,29.42,25,1.8,95.4,1.9,0.3,79.8,11.7,30.661,1
"AR","Jackson County",31.08,64.05,39.21,16.7,17.6,79.6,2.9,0.4,75.6,8.8,30.284,1
"AR","Jefferson County",61.21,35.94,63.79,15.1,55.5,41.7,1.9,0.9,83,17.5,37.14,0
"AR","Johnson County",26.91,67.49,34.54,15.8,2.1,93.4,13.5,1.2,79.7,14.7,31.003,1
"AR","Lafayette County",36.26,61.73,40.06,21.5,37.1,61.1,2,0.5,77.5,10.7,29.732,1
"AR","Lawrence County",22.44,72.2,32.26,19.3,1,97.1,1.3,0.2,77.4,10.4,32.239,1
"AR","Lee County",57.76,40.91,61.54,16.7,54.2,43.1,2.7,0.5,70.1,7.1,25.034,0
"AR","Lincoln County",32.83,64.37,38.23,13.5,30.3,67.7,3.6,0.3,73.5,7.9,32.697,1
"AR","Little River County",26.91,69.41,30.73,19.5,19.7,75.7,3.1,0.4,83.4,10.6,39.673,1
"AR","Logan County",21.84,73.19,27.41,19.2,1.5,93.7,2.7,1.9,81.3,11.7,34.996,1
"AR","Lonoke County",21.06,74.36,23.3,12.6,6.2,90.4,4,0.9,86.7,18.2,52.582,1
"AR","Madison County",23.4,72.5,31.96,17.5,0.4,95.2,5.4,0.8,76.6,10.3,35.771,1
"AR","Marion County",20.5,75.57,28.79,26.8,0.4,96.5,2.3,0.3,83.6,12.9,34.494,1
"AR","Miller County",26.68,70.52,29.47,15.2,25.1,71.7,3.1,0.6,85.1,13.9,41.319,1
"AR","Mississippi County",43.26,53.77,48.28,13.4,34.9,62.8,4,0.5,77.8,13,36.428,1
"AR","Monroe County",46.93,50.61,49.01,20.3,40.3,56.7,2.2,0.6,75.3,11.3,27.263,1
"AR","Montgomery County",21.34,74.69,27.03,25.4,0.6,95.1,3.6,0.7,82.3,12.9,31.345,1
"AR","Nevada County",35.76,61.89,38.83,19.4,30.5,67.1,3.3,0.4,82.1,12.8,33.694,1
"AR","Newton County",18.73,77.06,27.12,24.3,0.3,95.5,1.8,0.3,79.8,12.7,30.038,1
"AR","Ouachita County",43.72,54.11,44.9,18.3,40.3,57,2.2,0.5,84.7,15.5,32.015,1
"AR","Perry County",24.57,70.71,30.15,17.9,2.2,94.8,2.8,0.2,84.6,11.9,42.455,1
"AR","Phillips County",62.26,35.44,65.56,16.3,61.6,36.5,1.7,0.4,72.8,12,26.737,0
"AR","Pike County",17.29,79.63,22.45,18.6,3.5,93.3,6.6,0.7,80.1,13.8,32.206,1
"AR","Poinsett County",35.55,59.61,31.62,17.1,8,89.8,2.7,0.3,73.3,8.6,32.089,1
"AR","Polk County",14.9,81.34,20.15,21.7,0.5,94.5,6.4,0.6,85.1,12.3,32.835,1
"AR","Pope County",22.36,72.84,25.05,14.4,3.2,92.4,8.4,1.2,81.9,20.7,40.453,1
"AR","Prairie County",23.85,73.53,27.98,22,11.7,86.7,1.2,0.1,78.6,9.3,34.855,1
"AR","Pulaski County",56.67,38.79,54.73,13.5,36,59.2,6,2.2,89.2,31.2,46.013,0
"AR","Randolph County",22.57,71.41,34.3,19.9,0.9,96.8,1.9,0.4,80.4,12.3,34.418,1
"AR","Saline County",25.49,68.98,27.34,17.1,6.6,90.3,4.2,1.1,89.2,23.4,55.348,1
"AR","Scott County",16.8,78.82,24.61,18.7,0.7,91.1,7.6,3.8,77,11.6,37.448,1
"AR","Searcy County",16.25,79.91,22.04,23.6,0.3,95.5,2.1,0.2,74.1,12,30.779,1
"AR","Sebastian County",27.97,66.05,30.19,14.5,6.8,82.9,13.4,4.5,82.2,19.2,40.471,1
"AR","Sevier County",23.8,72.64,24.08,13.6,4.5,89,32.7,0.5,66.3,8.6,35.153,1
"AR","Sharp County",20.47,75.17,28.73,25.7,0.8,95.9,2.1,0.4,83,11,30.861,1
"AR","St. Francis County",54.38,43.11,58,13.9,52.7,44.5,4.4,0.6,76,11.7,30.873,0
"AR","Stone County",21.51,73.84,25.34,25.4,0.4,96.6,1.8,0.4,78.9,14.2,29.832,1
"AR","Union County",34.69,62.44,36.03,16.6,32.6,64.4,3.6,0.8,82.4,16.1,37.435,1
"AR","Van Buren County",21.76,75.69,28.44,24.6,0.5,96.3,3.1,0.4,81.4,13.6,32.517,1
"AR","Washington County",41.32,51.72,40.06,10.7,3.5,87.3,16.2,2.6,82.6,28.7,41.248,1
"AR","White County",18.79,76.64,21.75,15.1,4.6,92.2,4.2,0.7,82.6,18.1,42.487,1
"AR","Woodruff County",43.8,52.71,49.91,21.2,26.9,70.7,1.5,0.2,73.6,10.1,28.259,1
"AR","Yell County",23.04,72,28.81,17.1,2.1,93.9,18.9,1.6,71.3,9.4,35.535,1
"AZ","Apache County",65.36,28.48,66.1,13.5,0.9,23.4,6.4,0.4,74.5,10.4,31.476,0
"AZ","Cochise County",35.44,58.02,37.06,19.9,4.7,87.9,34.6,2.2,85.8,22.5,45.755,1
"AZ","Coconino County",56.33,36.89,56.3,11.1,1.6,66.4,13.9,1.8,87.6,31.1,49.555,0
"AZ","Gila County",31.53,63.89,35.99,26.6,0.9,80.2,18.8,0.8,84.3,16.1,39.954,1
"AZ","Graham County",27.65,67.22,30.44,12.3,2.1,81.1,32.1,0.7,84.4,12.3,44.943,1
"AZ","Greenlee County",33.67,58.34,44.08,11.6,1.8,91.5,46.6,0.8,84.3,11.1,47.992,1
"AZ","La Paz County",26.73,68.57,32.89,36.1,1.2,77.1,25.7,0.9,75.3,9.3,35.776,1
"AZ","Maricopa County",45.68,49.13,43.13,13.8,5.7,84.4,30.3,4.1,86.4,29.8,53.596,1
"AZ","Mohave County",22.22,73.67,27.79,26.9,1.3,92,15.8,1.2,83.8,11.9,39.2,1
"AZ","Navajo County",43.38,51.3,45.16,15.8,1.3,51,11.1,0.7,80.6,14.9,36.927,1
"AZ","Pima County",54.23,40.75,52.15,17.7,4.1,85.5,36.1,3.1,87.2,29.8,45.841,0
"AZ","Pinal County",38.1,57.41,40.56,18,4.9,83.2,29.2,1.9,84.7,18,50.027,1
"AZ","Santa Cruz County",71.58,24.45,68.27,15.8,0.9,96.2,82.8,0.7,72.5,19.8,37.745,0
"AZ","Yavapai County",32.02,63.44,33.71,28.1,0.9,93.6,14.2,1,90.2,24.2,42.987,1
"AZ","Yuma County",44.99,50.51,41.33,17.4,2.7,91.3,61.7,1.5,71.9,14.3,41.595,1
"CA","Alameda County",79.31,14.87,78.46,12.5,12.1,51.7,22.7,28.9,86.4,41.8,72.112,0
"CA","Alpine County",55.3,36.7,60.12,21.1,0.3,70.3,9.6,1.3,90.4,31.2,58.636,0
"CA","Amador County",34.35,59.58,39.21,25.1,2.1,90.7,13,1.4,88.1,19.3,53.684,1
"CA","Butte County",44.03,48.03,46.42,17,1.8,86.6,15.5,4.6,87.7,24.4,43.752,1
"CA","Calaveras County",34.65,58.53,40.09,25.1,1,91.9,11.5,1.5,92.8,21.2,55.295,1
"CA","Colusa County",39.68,54.59,38.33,13.1,1.2,91.6,58.1,1.8,69.4,13.8,52.158,1
"CA","Contra Costa County",68.91,25.44,65.71,14.2,9.6,67.3,25.2,16.4,88.8,39,78.756,0
"CA","Del Norte County",37.23,54.84,42.77,15.6,3.5,78.6,19,3.7,79.1,14,37.909,1
"CA","El Dorado County",39.5,53.38,39.61,18,1,89.8,12.7,4,93.2,32,69.297,1
"CA","Fresno County",49.41,45.53,47.64,11.2,5.9,77.2,51.9,10.7,73.1,19.6,45.563,0
"CA","Glenn County",32.68,61.71,35.83,14.9,1.2,90,40.4,3,72.3,14.6,43.023,1
"CA","Humboldt County",58.26,32.36,59.99,15.4,1.4,84,10.8,2.8,90.4,27.5,41.426,0
"CA","Imperial County",68.63,26.77,63.61,12,3.5,89.7,82.3,2.3,64.5,13.3,41.807,0
"CA","Inyo County",39.46,53.13,42.69,21.4,1,81.4,20.9,1.6,88.1,21.4,44.796,1
"CA","Kern County",39.72,54.73,38.48,9.9,6.3,82.7,51.5,5,72.4,15,48.552,1
"CA","Kings County",40.01,54.1,40.75,9.1,7.3,81.3,53.2,4.4,71,12.9,48.133,1
"CA","Lake County",47.83,44.09,56.28,20.6,2.1,87.7,19.1,1.4,85.4,16.2,36.548,0
"CA","Lassen County",21.34,72.67,28.71,12.5,8.8,81.6,18.5,1.4,79.4,13.1,53.107,1
"CA","Los Angeles County",71.41,23.39,68.87,12.2,9.2,71.3,48.4,14.8,76.6,29.7,55.909,0
"CA","Madera County",38.77,56.1,39.23,12.8,4.3,86,56.1,2.5,68.5,13.6,45.625,1
"CA","Marin County",78.89,16.13,73.98,19.4,2.9,86,16,6.1,92.4,54.6,90.839,0
"CA","Mariposa County",35.17,58.41,39.46,24.5,1.1,90.1,10.3,1.4,87.7,21.3,49.82,1
"CA","Mendocino County",60.38,31.23,66.2,18.9,1,86.3,24.1,2.2,85.2,22,43.469,0
"CA","Merced County",51.4,43.47,51.7,10.5,4.2,82,57.5,8.1,66.7,12.6,42.591,0
"CA","Modoc County",23.76,71.84,27.92,23.2,1.2,88.9,14.8,1.2,84.8,18.7,36.212,1
"CA","Mono County",52.31,40.36,52.35,11.8,0.8,91.6,27.9,1.8,83.8,29.8,61.757,0
"CA","Monterey County",66.96,27.28,65.86,12,3.5,82.6,57.4,6.9,71,23,59.168,0
"CA","Napa County",64.77,29.57,61.75,16.8,2.4,84.8,33.7,8.1,83.1,31.3,70.443,0
"CA","Nevada County",48.71,44.16,46.21,23.4,0.6,93.6,9.2,1.4,94.3,32.3,57.353,0
"CA","Orange County",50.96,43.28,44.75,13.1,2.1,73.5,34.3,19.6,83.8,36.8,75.422,0
"CA","Placer County",41.17,52.47,38.89,17.8,1.7,85.9,13.5,7.1,93.6,35.1,72.725,1
"CA","Plumas County",36.51,57.52,40.21,24.7,1.2,90.9,8.4,1.1,89.9,22.6,45.794,1
"CA","Riverside County",49.3,45.76,48.79,13.2,7,80.5,47.4,6.8,79.6,20.5,56.529,0
"CA","Sacramento County",58.56,34.87,56.96,12.8,10.9,64.6,22.5,15.8,85.9,28,55.064,0
"CA","San Benito County",56.57,37.65,57.55,11.4,1.3,88.4,58.3,3.5,76.9,18.2,66.237,0
"CA","San Bernardino County",52.02,42.57,51.57,10.3,9.5,77.3,51.7,7.3,78.2,18.7,54.09,0
"CA","San Diego County",56.07,38.24,51.54,12.7,5.6,76.3,33.2,11.9,85.5,34.6,62.962,0
"CA","San Francisco County",85.53,9.44,83.44,14.4,5.8,53.8,15.3,34.9,86.3,52.4,75.604,0
"CA","San Joaquin County",53.22,41.91,53.48,11.8,8.1,68.1,40.5,15.9,77.3,18.1,53.38,0
"CA","San Luis Obispo County",50.73,42.19,49.03,17.5,2.2,89,22,3.8,89.6,31.5,58.697,0
"CA","San Mateo County",76.31,18.93,71.31,14.7,3,62.5,25.3,27.7,88.6,44.4,88.202,0
"CA","Santa Barbara County",60.97,32.72,57.24,14,2.4,85.9,44.4,5.7,79.1,31.3,62.779,0
"CA","Santa Clara County",73.35,20.85,69.81,12.2,2.9,56.4,26.6,34.9,86.5,46.5,91.702,0
"CA","Santa Cruz County",75.05,17.76,75.17,13.5,1.4,87.7,33.2,4.8,84.9,37,66.519,0
"CA","Shasta County",28.21,65.59,33.6,19.2,1.1,88.5,9.4,3,88.4,18.8,44.651,1
"CA","Sierra County",33.31,58.09,36.65,26.8,0.4,94.8,9.7,0.5,89.4,18.5,39.009,1
"CA","Siskiyou County",35.82,56.52,40.62,22.7,1.4,87.2,11.9,1.3,89,23.9,37.709,1
"CA","Solano County",62.09,31.96,62.95,13.5,14.8,60.6,25.6,15.6,87.2,24.3,67.177,0
"CA","Sonoma County",70.72,22.81,70.85,16.7,1.9,87.4,26.1,4.3,86.7,32.2,63.356,0
"CA","Stanislaus County",47.35,46.73,49.16,12.1,3.3,84.1,44.1,5.9,76.4,16.4,49.297,0
"CA","Sutter County",38.88,55.14,38.14,14.5,2.5,74,29.9,16.5,78.3,18.7,50.408,1
"CA","Tehama County",28.73,65.49,34.75,17.8,1,90.7,24.1,1.4,81.1,13.5,41.924,1
"CA","Trinity County",39.78,51.08,47.06,24,0.5,87.9,7.3,0.9,91.3,21.3,36.89,1
"CA","Tulare County",40.31,54.84,40.08,10.4,2.2,88.3,62.9,4,68,13.3,42.708,1
"CA","Tuolumne County",36.55,57.46,40.57,23.5,2.1,90.8,11.5,1.3,89.1,19.5,48.426,1
"CA","Ventura County",55.37,38.57,51.55,13.6,2.2,84.8,42,7.5,82.8,31.4,76.544,0
"CA","Yolo County",68.07,26.03,65.18,11.5,3,75.9,31.5,13.8,84.3,37.9,55.918,0
"CA","Yuba County",34.35,58.47,38.76,11.4,4,79.4,27.2,7.3,79,13.7,44.902,1
"CO","Adams County",49.38,42.15,56.25,9.6,3.7,87,38.8,4.1,81.4,20.9,56.27,0
"CO","Alamosa County",45.93,43.95,56.69,12.6,1.9,87.8,45.5,1.6,84.7,24.2,34.52,0
"CO","Arapahoe County",52.68,38.93,53.16,11.9,10.9,78.3,18.8,5.6,91.4,38.8,60.651,0
"CO","Archuleta County",34.14,58.08,39.68,22.9,0.5,92.7,18.6,1.1,91.7,32.9,48.933,1
"CO","Baca County",13.19,81.44,22.04,25.7,1.1,94.4,10.5,0.4,87.3,17.2,38.829,1
"CO","Bent County",30.71,61.63,41.36,16.9,7.2,86.5,31.8,1.3,79.4,8.8,37.34,1
"CO","Boulder County",70.57,21.93,69.56,12.2,1.1,90.8,13.8,4.5,93.9,58.3,67.956,0
"CO","Broomfield County",52.3,38.22,51.73,12.2,1.4,88.8,12,6.3,94.9,47.5,77.998,0
"CO","Chaffee County",43.39,48.03,48.62,23,1.7,94.4,10.2,0.8,91.1,33.9,46.504,1
"CO","Cheyenne County",11.8,84.11,15.5,18.2,0.7,96.3,12.7,0.6,87,21.3,51.641,1
"CO","Clear Creek County",46.73,43.85,54.21,17.9,0.9,95.3,5.5,0.8,96.6,39.8,67.259,0
"CO","Conejos County",44.16,47.48,54.13,17.4,0.7,92.5,54.1,0.6,82.6,19.1,34.526,1
"CO","Costilla County",60.93,31.92,73,25.8,1.9,88.3,64.3,1.4,76.5,19.5,29.145,0
"CO","Crowley County",22.24,70.75,35.62,13,9.3,84,30.3,1.4,75.2,12.3,31.477,1
"CO","Custer County",26.01,67.2,31.96,29,1.2,95.9,5.3,0.6,94.6,32.7,32.427,1
"CO","Delta County",24.3,69.53,28.96,23.5,0.7,95.2,14.7,0.8,87.8,18.3,42.078,1
"CO","Denver County",75.17,18.79,73.45,10.9,10.2,80.7,30.8,3.8,85.4,42.9,50.313,0
"CO","Dolores County",18.46,76.1,27.01,22,0.3,93.2,5.1,0.3,88.8,18.4,37.75,1
"CO","Douglas County",36.65,54.77,36.02,9.9,1.4,91.3,8.3,4.3,97.5,55.8,101.591,1
"CO","Eagle County",55.96,36.06,56.31,8.1,1,95.1,30,1.2,88.7,47,74.456,0
"CO","Elbert County",19.48,73.53,25.31,13.9,0.8,95.4,6.4,1,96.6,29.6,82.118,1
"CO","El Paso County",33.77,56.34,38.09,11.5,7,83.7,16.3,3,93.6,35.2,57.125,1
"CO","Fremont County",24.11,68.86,32.8,20.3,4,91.5,13,0.8,84.1,15.6,39.943,1
"CO","Garfield County",42.56,49.65,46.38,10.7,1.2,94.2,28.1,0.8,85.2,26.6,57.022,1
"CO","Gilpin County",45.72,43.76,56.68,13.2,1.8,93.1,6.4,1.5,94.4,29.1,63.885,0
"CO","Grand County",38.99,52.47,44.91,13.9,0.5,95.6,8,0.9,94.4,32.8,64.664,1
"CO","Gunnison County",54.5,34.95,57.67,11.2,0.5,94.5,9.3,0.7,93.3,54.5,52.332,0
"CO","Hinsdale County",33.45,57.56,38.13,25.7,0.5,95.9,3.7,0.6,93.8,42.2,56.667,1
"CO","Huerfano County",43.24,49.71,52.36,29.7,1,89.3,34.4,1.1,84.7,28,33.298,1
"CO","Jackson County",19.84,72.85,25.47,20.9,0.1,95.9,11,0.4,88.7,22.2,43.606,1
"CO","Jefferson County",49.07,42.07,51,14.7,1.3,92.2,15.2,2.8,93.7,40.7,68.984,0
"CO","Kiowa County",10.67,85.11,14.37,24.1,0.7,96.6,6.3,0,92.2,20.6,40.813,1
"CO","Kit Carson County",14.56,80.1,22.38,17.2,2.5,94.1,19.3,0.6,84,13.5,44.157,1
"CO","Lake County",50.39,39.81,60.37,11,0.7,93.9,37.8,0.6,86.8,28.1,44.61,0
"CO","La Plata County",49.8,40.59,52.9,14.2,0.6,89.2,12.6,0.8,94.2,41.4,58.08,0
"CO","Larimer County",47.54,42.61,51.35,13.9,1.1,93.2,11.1,2.2,94.4,43.8,58.626,0
"CO","Las Animas County",39.06,54.62,50.24,22.3,1.8,91.4,42.5,1.1,84.3,16.3,42.261,1
"CO","Lincoln County",16.61,77.98,23.89,17.4,5.6,90.6,13.4,1,81.5,15.6,41.91,1
"CO","Logan County",19,74.95,29.62,15.7,4.3,91.6,16.1,0.9,88.7,15.8,40.415,1
